 code | shorttext |             longtext             | sortno |     insertdate      |     updatedate      
  122 |           | antal/250 ml                     |      0 | 2022-02-01 08:31:03 | 
  123 |           | µg/kg TS                         |      0 | 2022-02-01 08:31:03 | 
  124 |           | m/s                              |      0 | 2022-02-01 08:31:03 | 2024-06-28 06:36:53
  125 |           | g/kg                             |      0 | 2022-02-01 08:31:03 | 
  126 |           | l/d                              |      0 | 2022-02-01 08:31:03 | 
  127 |           | antal/g VV                       |      0 | 2022-02-01 08:31:03 | 
  128 |           | cm/s                             |      0 | 2022-02-01 08:31:03 | 
  129 |           | celler/ml                        |      0 | 2022-02-01 08:31:03 | 
  130 |           | celler/l                         |      0 | 2022-02-01 08:31:03 | 
  131 |           | antal/cm2                        |      0 | 2022-02-01 08:31:03 | 
  132 |           | g/s                              |      0 | 2022-02-01 08:31:03 | 
  133 |           | t/d                              |      0 | 2022-02-01 08:31:03 | 
  134 |           | g/m3                             |      0 | 2022-02-01 08:31:03 | 
  135 |           | uE/(cm2*s)                       |      0 | 2022-02-01 08:31:03 | 
  136 |           | bar                              |      0 | 2022-02-01 08:31:03 | 
  137 |           | kg/måned                         |      0 | 2022-02-01 08:31:03 | 
  138 |           | pct VV                           |      0 | 2022-02-01 08:31:03 | 
  139 |           | 1000/g                           |      0 | 2022-02-01 08:31:03 | 
  140 |           | h                                |      0 | 2022-02-01 08:31:03 | 
  141 |           | g/ml                             |      0 | 2022-02-01 08:31:03 | 
  142 |           | µg/kg                            |      0 | 2022-02-01 08:31:03 | 
  143 |           | mmol/kg                          |      0 | 2022-02-01 08:31:03 | 
  144 |           | meq/g TS                         |      0 | 2022-02-01 08:31:03 | 
  145 |           | mg/kg P                          |      0 | 2022-02-01 08:31:03 | 
  146 |           | mg/100 g                         |      0 | 2022-02-01 08:31:03 | 
  147 |           | mg/100 ml                        |      0 | 2022-02-01 08:31:03 | 
  148 |           | m3/(red.ha*år)                   |      0 | 2022-02-01 08:31:03 | 
  149 |           | m3/red.ha                        |      0 | 2022-02-01 08:31:03 | 
  150 |           | m3/s                             |      0 | 2022-02-01 08:31:03 | 
  151 |           | kg/(red.ha*år)                   |      0 | 2022-02-01 08:31:03 | 
  152 |           | pr år                            |      0 | 2022-02-01 08:31:03 | 
  153 |           | min                              |      0 | 2022-02-01 08:31:03 | 
  154 |           | antal/år                         |      0 | 2022-02-01 08:31:03 | 
  155 |           | ng/l                             |      0 | 2022-02-01 08:31:03 | 
  156 |           | ng/kg                            |      0 | 2022-02-01 08:31:03 | 
  157 |           | TU                               |      0 | 2022-02-01 08:31:03 | 
  158 |           | kg/h                             |      0 | 2022-02-01 08:31:03 | 
  159 |           | LAS/l                            |      0 | 2022-02-01 08:31:03 | 
  160 |           | mg Pt/l                          |      0 | 2022-02-01 08:31:03 | 
  161 |           | Tritium Unit                     |      0 | 2022-02-01 08:31:03 | 
  162 |           | kBeq/m3                          |      0 | 2022-02-01 08:31:03 | 
  163 |           | pg/l                             |      0 | 2022-02-01 08:31:03 | 
  164 |           | mS/cm                            |      0 | 2022-02-01 08:31:03 | 
  165 |           | eq/kg TS                         |      0 | 2022-02-01 08:31:03 | 
  166 |           | mm3/l                            |      0 | 2022-02-01 08:31:03 | 
  167 |           | µm                               |      0 | 2022-02-01 08:31:03 | 
  168 |           | µm3                              |      0 | 2022-02-01 08:31:03 | 
  173 |           | kg/(ha*år)                       |      0 | 2022-02-01 08:31:03 | 
  174 |           | kj/100 g                         |      0 | 2022-02-01 08:31:03 | 
  175 |           | kj/kg                            |      0 | 2022-02-01 08:31:03 | 
  176 |           | kCal/kg                          |      0 | 2022-02-01 08:31:03 | 
  177 |           | antal/10 cm2                     |      0 | 2022-02-01 08:31:03 | 
  178 |           | µg/stk.                          |      0 | 2022-02-01 08:31:03 | 
  179 |           | hkg/ha                           |      0 | 2022-02-01 08:31:03 | 
  180 |           | fe/ha                            |      0 | 2022-02-01 08:31:03 | 
  181 |           | µg/ml                            |      0 | 2022-02-01 08:31:03 | 
  182 |           | mill/100g                        |      0 | 2022-02-01 08:31:03 | 
  183 |           | g/m2                             |      0 | 2022-02-01 08:31:03 | 
  184 |           | antal/m2                         |      0 | 2022-02-01 08:31:03 | 
  185 |           | årstal                           |      0 | 2022-02-01 08:31:03 | 
(292 rows)

